Nome;Classe;Codgio;TipodeAtivo;PaisSede;Status;SetorEconomatica;SetorNAICS
Ambev S/A;ON;ABEV3;Acao;BR;ativo;Alimentos e Beb;Industria de bebidas
Abyara;ON;ABYA3;Acao;BR;cancelado;Construcao;Construcao e empreendimentos imobiliarios
Am Inox BR;ON;ACES3;Acao;BR;cancelado;Siderur & Metalur;Transformacao de aco em produtos de aco
Am Inox BR;PN;ACES4;Acao;BR;cancelado;Siderur & Metalur;Transformacao de aco em produtos de aco
Guarani;ON;ACGU3;Acao;BR;cancelado;Alimentos e Beb;Industria de acucar e produtos de confeitaria
AES Elpa;ON;AELP3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
AES Sul;ON;AESL3;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
AES Sul;PN;AESL4;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Afluente T;ON;AFLT3;Acao;BR;ativo;Energia Eletrica;Empresa de eletricidade, gas e agua
Afluente;ON;AFLU3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Afluente;PNA;AFLU5;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Afluente;PNB;AFLU6;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Agre Emp Imo;ON;AGEI3;Acao;BR;cancelado;Construcao;Construcao de edificios residenciais
Agra Incorp;ON;AGIN3;Acao;BR;cancelado;Construcao;Construcao de edificios residenciais
Agrale;PN;AGRA4;Acao;BR;cancelado;Maquinas Indust;Industria de maquinas agricolas, de construcao e mineracao
Brasilagro;ON;AGRO3;Acao;BR;ativo;Agro e Pesca;Agricultura
Albarus;ON;ALBA3;Acao;BR;cancelado;Veiculos e pecas;Industria de autopecas
All Amer Lat;UNT N2;ALLL11;Acao;BR;cancelado;Transporte Servic;Transporte ferroviario
All Amer Lat;ON;ALLL3;Acao;BR;ativo;Transporte Servic;Transporte ferroviario
All Amer Lat;PN;ALLL4;Acao;BR;cancelado;Transporte Servic;Transporte ferroviario
Alpargatas;ON;ALPA3;Acao;BR;ativo;Textil;Industria de calcados
Alpargatas;PN;ALPA4;Acao;BR;ativo;Textil;Industria de calcados
Altus S/A;ON;ALTS3;Acao;BR;ativo;Siderur & Metalur;Industria de produtos de metal
Altus S/A;PN;ALTS4;Acao;BR;ativo;Siderur & Metalur;Industria de produtos de metal
Alupar;UNT N2;ALUP11;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Alupar;ON;ALUP3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Alupar;PN;ALUP4;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Lojas Marisa;ON;AMAR3;Acao;BR;ativo;Comercio;Loja de roupas
Ambev S/A;PN;AMBV4-Old;Acao;BR;cancelado;Alimentos e Beb;Industria de bebidas
Amelco;PN;AMLC4;Acao;BR;cancelado;Eletroeletronicos;Industria de computadores e produtos eletronicos
Ampla Invest;ON;AMPI3;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Geodex;PNE;AMRI11;Acao;BR;cancelado;Telecomunicacoes;Telecomunicacoes
Geodex;ON;AMRI3;Acao;BR;cancelado;Telecomunicacoes;Telecomunicacoes
Geodex;PNC;AMRI7;Acao;BR;cancelado;Telecomunicacoes;Telecomunicacoes
Geodex;PND;AMRI8;Acao;BR;cancelado;Telecomunicacoes;Telecomunicacoes
AGconcessoes;ON;ANDG3B;Acao;BR;ativo;Transporte Servic;Atividades auxiliares ao transporte rodoviario
AGconcessoes;PN;ANDG4B;Acao;BR;ativo;Transporte Servic;Atividades auxiliares ao transporte rodoviario
Sid Aconorte;PNA;ANO5;Acao;BR;cancelado;Siderur & Metalur;Transformacao de aco em produtos de aco
Antarctica Pb;ON;ANPB3;Acao;BR;cancelado;Alimentos e Beb;Industria de bebidas
Antarctica Pb;PNA;ANPB5;Acao;BR;cancelado;Alimentos e Beb;Industria de bebidas
Antarctica Paulista;ON;ANTA3;Acao;BR;cancelado;Alimentos e Beb;Industria de bebidas
Antarctica Paulista;PN;ANTA4;Acao;BR;cancelado;Alimentos e Beb;Industria de bebidas
All Ore;ON;AORE3;Acao;BR;ativo;Mineracao;Mineracao de metais
Aliperti;ON;APTI3;Acao;BR;ativo;Siderur & Metalur;Industria de molas e produtos de arame
Aliperti;PN;APTI4;Acao;BR;ativo;Siderur & Metalur;Industria de molas e produtos de arame
Aquatec;PN;AQT4;Acao;BR;cancelado;Quimica;Industria de artigos de limpeza
Arcelor BR;ON;ARCE3;Acao;BR;cancelado;Siderur & Metalur;Transformacao de aco em produtos de aco
Arcelor BR;PN;ARCE4;Acao;BR;cancelado;Siderur & Metalur;Transformacao de aco em produtos de aco
Aracruz;ON;ARCZ3;Acao;BR;cancelado;Papel e Celulose;Industria de papel , celulose e papelao
Aracruz;PNA;ARCZ5;Acao;BR;cancelado;Papel e Celulose;Industria de papel , celulose e papelao
Aracruz;PNB;ARCZ6;Acao;BR;cancelado;Papel e Celulose;Industria de papel , celulose e papelao
Arno;PN;ARNO4;Acao;BR;cancelado;Eletroeletronicos;Industria de eletrodomesticos
Douat Textil;ON;ARPS3;Acao;BR;cancelado;Textil;Industria de tecidos para moveis
Douat Textil;PN;ARPS4;Acao;BR;cancelado;Textil;Industria de tecidos para moveis
Kuala;ON;ARTE3;Acao;BR;cancelado;Textil;Outras industrias de tecidos
Kuala;PN;ARTE4;Acao;BR;cancelado;Textil;Outras industrias de tecidos
Arteris;ON;ARTR3;Acao;BR;ativo;Transporte Servic;Atividades auxiliares ao transporte rodoviario
Arezzo Co;ON;ARZZ3;Acao;BR;ativo;Textil;Industria de calcados
Santistextil;ON;ASTA3;Acao;BR;cancelado;Textil;Tecelagens
Santistextil;PN;ASTA4;Acao;BR;cancelado;Textil;Tecelagens
Arteb;ON;ATBS3;Acao;BR;cancelado;Veiculos e pecas;Industria de autopecas
Autometal;ON;AUTM3;Acao;BR;ativo;Veiculos e pecas;Industria de outros equipamentos de transporte
Acos Vill;ON;AVIL3;Acao;BR;cancelado;Siderur & Metalur;Transformacao de aco em produtos de aco
Acos Vill;PN;AVIL4;Acao;BR;cancelado;Siderur & Metalur;Transformacao de aco em produtos de aco
Azevedo;ON;AZEV3;Acao;BR;ativo;Construcao;Outras construcoes pesadas
Azevedo;PN;AZEV4;Acao;BR;ativo;Construcao;Outras construcoes pesadas
S Gobain Canal;ON;BARB3;Acao;BR;cancelado;Siderur & Metalur;Fundicao
S Gobain Canal;PN;BARB4;Acao;BR;cancelado;Siderur & Metalur;Fundicao
Excelsior;ON;BAUH3;Acao;BR;ativo;Alimentos e Beb;Outras industrias de alimentos
Excelsior;PN;BAUH4;Acao;BR;ativo;Alimentos e Beb;Outras industrias de alimentos
Bardella;ON;BDLL3;Acao;BR;ativo;Maquinas Indust;Industria de maquinas agricolas, de construcao e mineracao
Bardella;PN;BDLL4;Acao;BR;ativo;Maquinas Indust;Industria de maquinas agricolas, de construcao e mineracao
Minerva;ON;BEEF3;Acao;BR;ativo;Alimentos e Beb;Abatedouros
Bematech;ON;BEMA3;Acao;BR;ativo;Eletroeletronicos;Industria de computadores e produtos eletronicos
