Date;SELIC;PIB
01/01/1994;0,42758323;4441
01/02/1994;0,41991754;5766,2
01/03/1994;0,46416714;8669
01/04/1994;0,46485376;12848,9
01/05/1994;0,47950601;20512,4
01/06/1994;0,50619665;33098,3
01/07/1994;0,06871708;41030,4
01/08/1994;0,04170314;43868,9
01/09/1994;0,03833968;43598,4
01/10/1994;0,03622055;45763,3
01/11/1994;0,0407242;45937,9
01/12/1994;0,03797499;43670
01/01/1995;0,03374516;45937,4
01/02/1995;0,03252938;49835,8
01/03/1995;0,0426211;61156,4
01/04/1995;0,04255266;58538,6
01/05/1995;0,04247809;56314,1
01/06/1995;0,04039734;55928,6
01/07/1995;0,04023118;58279
01/08/1995;0,03839792;60913,8
01/09/1995;0,03324737;61066,8
01/10/1995;0,03091962;64524,8
01/11/1995;0,02875556;67741,5
01/12/1995;0,02777322;65404,1
01/01/1996;0,02576497;61914,7
01/02/1996;0,02351465;61010,3
01/03/1996;0,02220822;62770,8
01/04/1996;0,02068046;64261,2
01/05/1996;0,02012753;68908,6
01/06/1996;0,01977279;69652,6
01/07/1996;0,0192857;73164,9
01/08/1996;0,01967914;73085,3
01/09/1996;0,01904053;70186
01/10/1996;0,01858622;76244,1
01/11/1996;0,01804284;80327,3
01/12/1996;0,01804323;82439,6
01/01/1997;0,01731821;76544,8
01/02/1997;0,01672399;69226,8
01/03/1997;0,01641633;67758,4
01/04/1997;0,01659642;72745,8
01/05/1997;0,01584469;77958,6
01/06/1997;0,01606833;81810,2
01/07/1997;0,01603844;81092
01/08/1997;0,01585855;80340,6
01/09/1997;0,01590281;79382,5
01/10/1997;0,01672888;85529,1
01/11/1997;0,0304348;84869,7
01/12/1997;0,02972367;81888,1
01/01/1998;0,02669973;78127,6
01/02/1998;0,02129793;73538,1
01/03/1998;0,02200729;76913,1
01/04/1998;0,01706698;79691,9
01/05/1998;0,01630035;84274,1
01/06/1998;0,01602412;85246
01/07/1998;0,01703732;84787,1
01/08/1998;0,01476317;83517,5
01/09/1998;0,02487509;81238,8
01/10/1998;0,02940886;84553,1
01/11/1998;0,02632152;84739
01/12/1998;0,02401553;82649,4
01/01/1999;0,02177954;79306,2
01/02/1999;0,02378709;78524,9
01/03/1999;0,0333452;85320,7
01/04/1999;0,02352438;86404,5
01/05/1999;0,0201883;88430,2
01/06/1999;0,01671869;91514,5
01/07/1999;0,01658764;89064,6
01/08/1999;0,01568475;89291,1
01/09/1999;0,01487146;86896,6
01/10/1999;0,01383896;93280,1
01/11/1999;0,01386499;98205
01/12/1999;0,01599629;98761,3
01/01/2000;0,01455733;91192,6
01/02/2000;0,01450895;89353
01/03/2000;0,01449262;89100,7
01/04/2000;0,01295657;90029
