Date;NIPO;TURN;PVOL;S;NIPO_lagged;TURN_lagged;PVOL_lagged;S_lagged
01/01/2000;1;0,675197542;0,117755028;0,44916035;;;;
01/02/2000;2;0,82981192;-0,042066424;0,456711355;;;;
01/03/2000;0;0,55537866;-0,047392131;0,41895081;;;;
01/04/2000;2;0,578403783;0,060826718;0,405476212;;;;
01/05/2000;0;-0,019581596;-0,012357373;0,364644362;;;;
01/06/2000;1;0,368130067;0,073747511;0,40754337;;;;
01/07/2000;0;0,388399032;0,045614414;0,198732371;;;;
01/08/2000;0;1,207242269;-0,0657696;0,486896667;;;;
01/09/2000;0;1,305524981;-0,016947448;0,488872115;;;;
01/10/2000;0;1,334364628;-0,142235523;0,469756954;;;;
01/11/2000;2;1,187330327;-0,009150422;0,535107726;;;;
01/12/2000;1;1,060420909;0,01012686;0,479116023;;;;
01/01/2001;0;1,099400811;0,035421208;0,567106085;1;0,675197542;0,117755028;0,44916035
01/02/2001;0;1,148033128;-0,028116519;0,146064888;2;0,82981192;-0,042066424;0,456711355
01/03/2001;0;1,160778309;0,008402222;0,120299119;0;0,55537866;-0,047392131;0,41895081
01/04/2001;0;1,007683107;0,002487149;0,111615663;2;0,578403783;0,060826718;0,405476212
01/05/2001;2;0,874838364;-0,061665851;0,103606134;0;-0,019581596;-0,012357373;0,364644362
01/06/2001;3;0,531326879;-0,030458411;0,23108424;1;0,368130067;0,073747511;0,40754337
01/07/2001;0;0,809415913;-0,023179085;0,289026372;0;0,388399032;0,045614414;0,198732371
01/08/2001;1;0,782728771;0,000306808;0,293023225;0;1,207242269;-0,0657696;0,486896667
01/09/2001;0;1,001497267;-0,096431453;0,377335549;0;1,305524981;-0,016947448;0,488872115
01/10/2001;0;1,002720495;0,020267912;0,386016685;0;1,334364628;-0,142235523;0,469756954
01/11/2001;0;0,852183614;-0,024121431;0,400137557;2;1,187330327;-0,009150422;0,535107726
01/12/2001;1;0,701108837;0,034574951;0,204737464;1;1,060420909;0,01012686;0,479116023
01/01/2002;1;0,793734786;0,04514511;0,133831803;0;1,099400811;0,035421208;0,567106085
01/02/2002;0;0,673599632;-0,001916538;0,085129001;0;1,148033128;-0,028116519;0,146064888
01/03/2002;0;0,646582888;0,047355523;0,359405215;0;1,160778309;0,008402222;0,120299119
01/04/2002;0;0,298121824;0,028146444;0,347226578;0;1,007683107;0,002487149;0,111615663
01/05/2002;0;0,162454872;0,027855346;0,338176133;2;0,874838364;-0,061665851;0,103606134
01/06/2002;0;0,070631071;0,008814003;0,47026229;3;0,531326879;-0,030458411;0,23108424
01/07/2002;0;0,048780305;-0,028658656;0,457996633;0;0,809415913;-0,023179085;0,289026372
01/08/2002;0;0,103347589;0,00263947;0,535059437;1;0,782728771;0,000306808;0,293023225
01/09/2002;0;0,229916695;0,013454895;0,162237101;0;1,001497267;-0,096431453;0,377335549
01/10/2002;0;0,551986661;-0,007731749;0,134825006;0;1,002720495;0,020267912;0,386016685
01/11/2002;1;0,159555298;-0,083439966;0,100724383;0;0,852183614;-0,024121431;0,400137557
01/12/2002;0;-0,019294228;0,024994625;0,053769331;1;0,701108837;0,034574951;0,204737464
01/01/2003;0;0,068703575;0,005918359;0,05376841;1;0,793734786;0,04514511;0,133831803
01/02/2003;0;0,037590346;-0,010969362;0,014587194;0;0,673599632;-0,001916538;0,085129001
01/03/2003;0;0,219914542;-0,021578844;0,049233836;0;0,646582888;0,047355523;0,359405215
01/04/2003;0;0,083713738;0,027804059;0,052687237;0;0,298121824;0,028146444;0,347226578
01/05/2003;0;0,130117577;0,053778589;0,054552836;0;0,162454872;0,027855346;0,338176133
01/06/2003;2;-0,174460481;-0,058164017;0,173173505;0;0,070631071;0,008814003;0,47026229
01/07/2003;0;0,167615399;-0,046862582;0,165778115;0;0,048780305;-0,028658656;0,457996633
01/08/2003;0;0,083792247;-0,037656848;0,153771749;0;0,103347589;0,00263947;0,535059437
01/09/2003;1;0,226454131;-0,020576513;0,058240333;0;0,229916695;0,013454895;0,162237101
01/10/2003;0;0,208636913;0,000588753;0,083953536;0;0,551986661;-0,007731749;0,134825006
01/11/2003;0;0,311578711;0,027697692;0,185245289;1;0,159555298;-0,083439966;0,100724383
01/12/2003;0;0,514087043;-0,048014508;0,257178334;0;-0,019294228;0,024994625;0,053769331
01/01/2004;0;0,574245806;0,031100717;0,203836877;0;0,068703575;0,005918359;0,05376841
01/02/2004;0;0,591957266;0,022157356;0,231669941;0;0,037590346;-0,010969362;0,014587194
01/03/2004;0;0,354768327;-0,014253837;0,234256001;0;0,219914542;-0,021578844;0,049233836
01/04/2004;0;0,421146647;-0,042074673;0,317688776;0;0,083713738;0,027804059;0,052687237
01/05/2004;1;0,499497227;-0,043873601;0,377181526;0;0,130117577;0,053778589;0,054552836
01/06/2004;2;0,543645454;0,043252809;0,556877079;2;-0,174460481;-0,058164017;0,173173505
01/07/2004;0;0,63866919;0,010866117;0,530162658;0;0,167615399;-0,046862582;0,165778115
01/08/2004;0;0,679844316;0,015262829;0,421043821;0;0,083792247;-0,037656848;0,153771749
01/09/2004;1;0,503380348;-0,002416886;0,48645016;1;0,226454131;-0,020576513;0,058240333
01/10/2004;1;0,706091839;-0,018230166;0,456994721;0;0,208636913;0,000588753;0,083953536
01/11/2004;2;0,546005729;0,017238498;0,405676244;0;0,311578711;0,027697692;0,185245289
01/12/2004;0;0,654933096;0,040230062;0,400534018;0;0,514087043;-0,048014508;0,257178334
01/01/2005;0;0,192990122;-0,019772001;0,387378787;0;0,574245806;0,031100717;0,203836877
01/02/2005;1;0,096237883;-0,022157139;0,435484692;0;0,591957266;0,022157356;0,231669941
01/03/2005;1;-0,187032635;0,029715402;0,354364278;0;0,354768327;-0,014253837;0,234256001
